gid,village,woreda,chirps_early_first,chirps_early_last,chirps_late_first,chirps_late_last,evi_month,status
2590,Abil_Abu,Debresina,17,20,24,27,Oct,New R4 2022 Village
2576,Anferfira,Debresina,17,20,27,29,Oct,Previous R4 Village (Updated 2022)
2603,Aychal_bonya,Debresina,19,21,25,27,Nov,Previous R4 Village (Not Updated)
2605,Beta,Debresina,18,20,22,24,Oct,Previous R4 Village (Not Updated)
2585,Chefe_belo,Debresina,15,17,26,28,Oct,Previous R4 Village (Updated 2022)
2577,Chiro_Cherkos,Debresina,17,20,27,29,Oct,New R4 2022 Village
2578,Chiro_Kadis_Mudlala,Debresina,17,20,25,27,Oct,New R4 2022 Village
2597,Debir_Senbo,Debresina,17,20,25,27,Oct,New R4 2022 Village
2589,Dega_Dibi,Debresina,17,20,26,29,Oct,New R4 2022 Village
2600,Derami,Debresina,17,20,24,26,Oct,Previous R4 Village (Updated 2022)
2591,Dibi_Cherie,Debresina,17,20,25,27,Oct,New R4 2022 Village
2583,Dilfirie,Debresina,17,19,25,28,Oct,New R4 2022 Village
2601,Dinsa_kariba,Debresina,18,21,24,26,Nov,Previous R4 Village (Not Updated)
2580,Galamot_Balamoch,Debresina,17,19,25,27,Oct,New R4 2022 Village
2588,Haweyibetaso,Debresina,17,19,25,28,Oct,New R4 2022 Village
2587,Hulagoshi,Debresina,17,20,25,28,Oct,New R4 2022 Village
2586,Jelisa,Debresina,17,20,26,28,Oct,New R4 2022 Village
2584,Keto,Debresina,17,20,26,28,Oct,New R4 2022 Village
2582,Key_Afer,Debresina,17,20,22,24,Oct,Previous R4 Village (Not Updated)
2595,Mendeyu,Debresina,18,21,22,24,Oct,Previous R4 Village (Not Updated)
2593,Sirba_Menekuko,Debresina,19,21,23,25,Nov,Previous R4 Village (Not Updated)
2596,Tewa,Debresina,18,21,22,25,Nov,Previous R4 Village (Not Updated)
2599,Werke_meskele,Debresina,15,18,24,27,Oct,Previous R4 Village (Updated 2022)
2594,Wobo,Debresina,17,20,22,24,Oct,Previous R4 Village (Not Updated)
2604,Woreke_abu,Debresina,19,21,23,25,Oct,Previous R4 Village (Not Updated)
2602,Yecho_masi,Debresina,17,20,25,27,Oct,Previous R4 Village (Updated 2022)
1757,AderSeg,Ebinat,12,15,24,26,Oct,Previous R4 Village (Not Updated)
1774,AquaShumoch,Ebinat,14,17,24,27,Nov,Previous R4 Village (Not Updated)
1758,Balarab,Ebinat,19,21,25,27,Oct,Previous R4 Village (Not Updated)
1759,Burkoche,Ebinat,19,21,24,26,Oct,Previous R4 Village (Not Updated)
1772,DeberAbaJale,Ebinat,18,20,27,29,Oct,Previous R4 Village (Not Updated)
1779,EmbachekoGunaguna,Ebinat,17,19,24,26,Sep,Previous R4 Village (Not Updated)
1768,GelaMatebiya,Ebinat,18,21,24,26,Nov,Previous R4 Village (Not Updated)
1776,JimanDeregeha,Ebinat,19,21,24,27,Nov,Previous R4 Village (Not Updated)
1775,Mechena,Ebinat,16,18,23,25,Oct,Previous R4 Village (Not Updated)
1766,Niquara,Ebinat,12,15,22,24,Sep,Previous R4 Village (Not Updated)
1777,Selamaya,Ebinat,15,18,26,29,Sep,Previous R4 Village (Updated 2022)
1771,Serawudi,Ebinat,17,20,27,29,Oct,Previous R4 Village (Not Updated)
1778,Shunge,Ebinat,18,20,23,25,Sep,Previous R4 Village (Not Updated)
1755,TaraSenba,Ebinat,19,21,26,29,Sep,Previous R4 Village (Not Updated)
1760,Tigage,Ebinat,18,21,24,26,Nov,Previous R4 Village (Not Updated)
1780,Wariba,Ebinat,16,18,23,25,Oct,Previous R4 Village (Not Updated)
1770,Wonberoch,Ebinat,15,18,26,29,Oct,Previous R4 Village (Not Updated)
1754,WorgajaWagi,Ebinat,17,19,26,28,Oct,Previous R4 Village (Not Updated)
1773,Ziha,Ebinat,18,21,24,26,Nov,Previous R4 Village (Not Updated)
3247,Adisalem,Enebise_Sar_Midir,18,21,22,25,Oct,Previous R4 Village (Not Updated)
3229,Berlay,Enebise_Sar_Midir,17,20,22,24,Oct,Previous R4 Village (Not Updated)
3228,DebreGenet,Enebise_Sar_Midir,17,20,22,24,Oct,Previous R4 Village (Updated 2022)
3240,DebreKidusan,Enebise_Sar_Midir,12,15,22,25,Oct,Previous R4 Village (Not Updated)
3235,Debremawie,Enebise_Sar_Midir,16,19,22,25,Nov,Previous R4 Village (Not Updated)
3230,DembezaAmbaLay,Enebise_Sar_Midir,17,20,22,24,Oct,Previous R4 Village (Not Updated)
3227,Felegehiwot,Enebise_Sar_Midir,16,19,23,26,Nov,Previous R4 Village (Not Updated)
3226,Goshedur,Enebise_Sar_Midir,15,18,25,27,Oct,Previous R4 Village (Not Updated)
3241,HagereGenet,Enebise_Sar_Midir,18,21,25,28,Oct,Previous R4 Village (Not Updated)
3248,HagereSelamE,Enebise_Sar_Midir,17,20,23,26,Oct,Previous R4 Village (Not Updated)
3249,Lul,Enebise_Sar_Midir,17,20,22,25,Oct,Previous R4 Village (Not Updated)
3246,Melabesh,Enebise_Sar_Midir,18,21,22,24,Nov,Previous R4 Village (Not Updated)
3250,WoryaMeskel,Enebise_Sar_Midir,17,20,23,25,Oct,Previous R4 Village (Not Updated)
3224,Yetefet,Enebise_Sar_Midir,14,17,26,28,Nov,Previous R4 Village (Not Updated)
3234,ZihonHuha,Enebise_Sar_Midir,17,20,23,26,Oct,Previous R4 Village (Not Updated)
3251,ZobarYikuanda,Enebise_Sar_Midir,14,17,22,25,Oct,Previous R4 Village (Not Updated)
2843,asenafit,Gishe,18,21,23,26,Oct,New R4 2022 Village
2840,Darat,Gishe,18,21,25,28,Nov,Previous R4 Village (Not Updated)
2837,Dell,Gishe,17,20,25,27,Oct,Previous R4 Village (Not Updated)
2841,Ferese_Bet,Gishe,17,20,24,27,Nov,Previous R4 Village (Not Updated)
2838,Girar_Ameba,Gishe,18,21,24,27,Oct,Previous R4 Village (Not Updated)
2835,goleta,Gishe,18,21,23,26,Oct,New R4 2022 Village
2836,korebetite,Gishe,18,21,23,26,Oct,New R4 2022 Village
1149,Tebel,Gishe,19,21,23,26,Oct,New R4 2022 Village
2842,Wefelek,Gishe,18,21,24,27,Oct,Previous R4 Village (Not Updated)
