gid,variable,year,is_bad_year
1128,X1st,1980,0
1149,X1st,1980,0
1494,X1st,1980,0
1754,X1st,1980,0
1755,X1st,1980,0
1757,X1st,1980,0
1758,X1st,1980,0
1759,X1st,1980,0
1760,X1st,1980,0
1766,X1st,1980,0
1768,X1st,1980,0
1770,X1st,1980,0
1771,X1st,1980,0
1772,X1st,1980,0
1773,X1st,1980,0
1774,X1st,1980,0
1775,X1st,1980,0
1776,X1st,1980,0
1777,X1st,1980,0
1778,X1st,1980,0
1779,X1st,1980,0
1780,X1st,1980,0
1787,X1st,1980,0
1788,X1st,1980,0
1789,X1st,1980,0
1790,X1st,1980,0
1791,X1st,1980,0
1794,X1st,1980,0
1795,X1st,1980,0
1797,X1st,1980,0
1798,X1st,1980,0
1799,X1st,1980,0
1800,X1st,1980,0
1805,X1st,1980,0
1806,X1st,1980,0
1809,X1st,1980,0
1810,X1st,1980,0
1813,X1st,1980,0
1814,X1st,1980,0
1815,X1st,1980,0
2296,X1st,1980,0
2298,X1st,1980,0
2299,X1st,1980,0
2300,X1st,1980,0
2304,X1st,1980,0
2305,X1st,1980,0
2307,X1st,1980,0
2308,X1st,1980,0
2319,X1st,1980,0
2324,X1st,1980,0
2325,X1st,1980,0
2326,X1st,1980,0
2327,X1st,1980,0
2328,X1st,1980,0
2329,X1st,1980,0
2330,X1st,1980,0
2331,X1st,1980,0
2332,X1st,1980,0
2333,X1st,1980,0
2334,X1st,1980,0
2335,X1st,1980,0
2336,X1st,1980,0
2337,X1st,1980,0
2338,X1st,1980,0
2339,X1st,1980,0
2340,X1st,1980,0
2341,X1st,1980,0
2342,X1st,1980,0
2343,X1st,1980,0
2512,X1st,1980,0
2513,X1st,1980,0
2530,X1st,1980,0
2532,X1st,1980,0
2535,X1st,1980,0
2536,X1st,1980,0
2537,X1st,1980,0
2538,X1st,1980,0
2539,X1st,1980,0
2540,X1st,1980,0
2541,X1st,1980,0
2544,X1st,1980,0
2545,X1st,1980,0
2547,X1st,1980,0
2550,X1st,1980,0
2551,X1st,1980,0
2552,X1st,1980,0
2553,X1st,1980,0
2554,X1st,1980,0
2555,X1st,1980,0
2556,X1st,1980,0
2557,X1st,1980,0
2558,X1st,1980,0
2559,X1st,1980,0
2561,X1st,1980,0
2562,X1st,1980,0
2563,X1st,1980,0
2564,X1st,1980,0
2566,X1st,1980,0
2567,X1st,1980,0
2568,X1st,1980,0
2569,X1st,1980,0
2571,X1st,1980,0
2576,X1st,1980,0
2577,X1st,1980,0
2578,X1st,1980,0
2580,X1st,1980,0
2582,X1st,1980,0
2583,X1st,1980,0
2584,X1st,1980,0
2585,X1st,1980,0
2586,X1st,1980,0
2587,X1st,1980,0
2588,X1st,1980,0
2589,X1st,1980,0
2590,X1st,1980,0
2591,X1st,1980,0
2593,X1st,1980,0
2594,X1st,1980,0
2595,X1st,1980,0
2596,X1st,1980,0
2597,X1st,1980,0
2599,X1st,1980,0
2600,X1st,1980,0
2601,X1st,1980,0
2602,X1st,1980,0
2603,X1st,1980,0
2604,X1st,1980,0
2605,X1st,1980,0
2606,X1st,1980,0
2607,X1st,1980,0
2608,X1st,1980,0
2609,X1st,1980,0
2616,X1st,1980,0
2618,X1st,1980,0
2622,X1st,1980,0
2624,X1st,1980,0
2625,X1st,1980,0
2626,X1st,1980,0
2628,X1st,1980,0
2629,X1st,1980,0
2630,X1st,1980,0
2631,X1st,1980,0
2632,X1st,1980,0
2633,X1st,1980,0
2634,X1st,1980,0
2636,X1st,1980,0
2637,X1st,1980,0
2641,X1st,1980,0
2642,X1st,1980,0
2643,X1st,1980,0
2644,X1st,1980,0
2646,X1st,1980,0
2647,X1st,1980,0
2648,X1st,1980,0
2649,X1st,1980,0
2650,X1st,1980,0
2652,X1st,1980,0
2653,X1st,1980,0
2654,X1st,1980,0
2657,X1st,1980,0
2658,X1st,1980,0
2659,X1st,1980,0
2661,X1st,1980,0
2663,X1st,1980,0
2664,X1st,1980,0
2666,X1st,1980,0
2667,X1st,1980,0
2669,X1st,1980,0
2673,X1st,1980,0
2676,X1st,1980,0
2678,X1st,1980,0
2679,X1st,1980,0
2716,X1st,1980,0
2717,X1st,1980,0
2718,X1st,1980,0
2719,X1st,1980,0
2721,X1st,1980,0
2723,X1st,1980,0
2724,X1st,1980,0
2725,X1st,1980,0
2726,X1st,1980,0
2731,X1st,1980,0
2732,X1st,1980,0
2733,X1st,1980,0
2734,X1st,1980,0
2735,X1st,1980,0
2736,X1st,1980,0
2741,X1st,1980,0
2835,X1st,1980,0
2836,X1st,1980,0
2837,X1st,1980,0
2838,X1st,1980,0
2839,X1st,1980,0
2840,X1st,1980,0
2841,X1st,1980,0
2842,X1st,1980,0
2843,X1st,1980,0
3182,X1st,1980,0
3183,X1st,1980,0
3193,X1st,1980,0
3224,X1st,1980,0
3226,X1st,1980,0
3227,X1st,1980,0
3228,X1st,1980,0
3229,X1st,1980,0
3230,X1st,1980,0
3234,X1st,1980,0
3235,X1st,1980,0
3240,X1st,1980,0
3241,X1st,1980,0
3246,X1st,1980,0
3247,X1st,1980,0
3248,X1st,1980,0
3249,X1st,1980,0
3250,X1st,1980,0
3251,X1st,1980,0
3462,X1st,1980,0
3463,X1st,1980,0
3464,X1st,1980,0
3467,X1st,1980,0
3468,X1st,1980,0
3469,X1st,1980,0
3470,X1st,1980,0
3472,X1st,1980,0
3473,X1st,1980,0
3474,X1st,1980,0
3475,X1st,1980,0
3476,X1st,1980,0
3477,X1st,1980,0
3478,X1st,1980,0
3479,X1st,1980,0
1128,X2nd,1980,0
1149,X2nd,1980,0
1494,X2nd,1980,0
1754,X2nd,1980,0
1755,X2nd,1980,0
1757,X2nd,1980,0
1758,X2nd,1980,0
1759,X2nd,1980,0
1760,X2nd,1980,0
1766,X2nd,1980,0
1768,X2nd,1980,0
1770,X2nd,1980,0
1771,X2nd,1980,0
1772,X2nd,1980,0
1773,X2nd,1980,0
1774,X2nd,1980,0
1775,X2nd,1980,0
1776,X2nd,1980,0
1777,X2nd,1980,0
1778,X2nd,1980,0
1779,X2nd,1980,0
1780,X2nd,1980,0
1787,X2nd,1980,0
1788,X2nd,1980,0
1789,X2nd,1980,0
1790,X2nd,1980,0
1791,X2nd,1980,0
1794,X2nd,1980,0
1795,X2nd,1980,0
1797,X2nd,1980,0
1798,X2nd,1980,0
1799,X2nd,1980,0
1800,X2nd,1980,0
1805,X2nd,1980,0
1806,X2nd,1980,0
1809,X2nd,1980,0
1810,X2nd,1980,0
1813,X2nd,1980,0
1814,X2nd,1980,0
1815,X2nd,1980,0
2296,X2nd,1980,0
2298,X2nd,1980,0
2299,X2nd,1980,0
2300,X2nd,1980,0
2304,X2nd,1980,0
2305,X2nd,1980,0
2307,X2nd,1980,0
2308,X2nd,1980,0
2319,X2nd,1980,0
2324,X2nd,1980,0
2325,X2nd,1980,0
2326,X2nd,1980,0
2327,X2nd,1980,0
2328,X2nd,1980,0
2329,X2nd,1980,0
2330,X2nd,1980,0
2331,X2nd,1980,0
2332,X2nd,1980,0
2333,X2nd,1980,0
2334,X2nd,1980,0
2335,X2nd,1980,0
2336,X2nd,1980,0
2337,X2nd,1980,0
2338,X2nd,1980,0
2339,X2nd,1980,0
2340,X2nd,1980,0
2341,X2nd,1980,0
2342,X2nd,1980,0
2343,X2nd,1980,0
2512,X2nd,1980,0
2513,X2nd,1980,0
2530,X2nd,1980,0
2532,X2nd,1980,0
2535,X2nd,1980,0
2536,X2nd,1980,0
2537,X2nd,1980,0
2538,X2nd,1980,0
2539,X2nd,1980,0
2540,X2nd,1980,0
2541,X2nd,1980,0
2544,X2nd,1980,0
2545,X2nd,1980,0
2547,X2nd,1980,0
2550,X2nd,1980,0
2551,X2nd,1980,0
2552,X2nd,1980,0
2553,X2nd,1980,0
2554,X2nd,1980,0
2555,X2nd,1980,0
2556,X2nd,1980,0
2557,X2nd,1980,0
2558,X2nd,1980,0
2559,X2nd,1980,0
2561,X2nd,1980,0
2562,X2nd,1980,0
2563,X2nd,1980,0
2564,X2nd,1980,0
2566,X2nd,1980,0
2567,X2nd,1980,0
2568,X2nd,1980,0
2569,X2nd,1980,0
2571,X2nd,1980,0
2576,X2nd,1980,0
2577,X2nd,1980,0
2578,X2nd,1980,0
2580,X2nd,1980,0
2582,X2nd,1980,0
2583,X2nd,1980,0
2584,X2nd,1980,0
2585,X2nd,1980,0
2586,X2nd,1980,0
2587,X2nd,1980,0
2588,X2nd,1980,0
2589,X2nd,1980,0
2590,X2nd,1980,0
2591,X2nd,1980,0
2593,X2nd,1980,0
2594,X2nd,1980,0
2595,X2nd,1980,0
2596,X2nd,1980,0
2597,X2nd,1980,0
2599,X2nd,1980,0
2600,X2nd,1980,0
2601,X2nd,1980,0
2602,X2nd,1980,0
2603,X2nd,1980,0
2604,X2nd,1980,0
2605,X2nd,1980,0
2606,X2nd,1980,0
2607,X2nd,1980,0
2608,X2nd,1980,0
2609,X2nd,1980,0
2616,X2nd,1980,0
2618,X2nd,1980,0
2622,X2nd,1980,0
2624,X2nd,1980,0
2625,X2nd,1980,0
2626,X2nd,1980,0
2628,X2nd,1980,0
2629,X2nd,1980,0
2630,X2nd,1980,0
2631,X2nd,1980,0
2632,X2nd,1980,0
2633,X2nd,1980,0
2634,X2nd,1980,0
2636,X2nd,1980,0
2637,X2nd,1980,0
2641,X2nd,1980,0
2642,X2nd,1980,0
2643,X2nd,1980,0
2644,X2nd,1980,0
2646,X2nd,1980,0
2647,X2nd,1980,0
2648,X2nd,1980,0
2649,X2nd,1980,0
2650,X2nd,1980,0
2652,X2nd,1980,0
2653,X2nd,1980,0
2654,X2nd,1980,0
2657,X2nd,1980,0
2658,X2nd,1980,0
2659,X2nd,1980,0
2661,X2nd,1980,0
2663,X2nd,1980,0
2664,X2nd,1980,0
