gid,crop,activity,start_time,end_time
1128.0,Teff,flowering,2020-09-11,2020-10-10
1128.0,Teff,harvesting,2020-11-24,2020-12-31
1128.0,Teff,planting,2020-07-22,2020-08-01
1128.0,Teff,prep,2020-04-09,2020-07-15
1128.0,Teff,tasseling,2020-10-11,2020-11-09
1128.0,Wheat/Barley,flowering,2020-08-21,2020-09-25
1128.0,Wheat/Barley,harvesting,2020-11-04,2020-12-09
1128.0,Wheat/Barley,planting,2020-07-02,2020-07-17
1128.0,Wheat/Barley,prep,2020-03-10,2020-06-07
1128.0,Wheat/Barley,tasseling,2020-10-05,2020-10-20
1149.0,Barley,flowering,2020-08-21,2020-09-05
1149.0,Barley,harvesting,2020-10-24,2020-11-14
1149.0,Barley,planting,2020-05-23,2020-06-22
1149.0,Barley,prep,2020-01-07,2020-05-09
1149.0,Barley,tasseling,2020-09-25,2020-10-09
1149.0,Beans,flowering,2020-08-18,2020-09-10
1149.0,Beans,harvesting,2020-10-25,2020-11-24
1149.0,Beans,planting,2020-06-12,2020-05-22
1149.0,Beans,prep,2020-02-08,2020-06-08
1149.0,Beans,tasseling,2020-09-11,2020-10-10
1754.0,Beans,flowering,2020-07-23,2020-08-06
1754.0,Beans,harvesting,2020-09-27,2020-10-12
1754.0,Beans,planting,2020-06-08,2020-07-07
1754.0,Beans,prep,2020-06-01,2020-06-07
1754.0,Beans,tasseling,2020-08-21,2020-09-11
1754.0,Maize,flowering,2020-07-23,2020-08-06
1754.0,Maize,harvesting,2020-10-27,2020-11-10
1754.0,Maize,planting,2020-05-09,2020-06-07
1754.0,Maize,prep,2020-12-10,2020-05-08
1754.0,Maize,tasseling,2020-08-07,2020-08-22
1754.0,Teff,flowering,2020-09-06,2020-09-16
1754.0,Teff,harvesting,2020-10-12,2020-12-10
1754.0,Teff,planting,2020-06-01,2020-07-23
1754.0,Teff,prep,2020-12-11,2020-05-08
1754.0,Teff,tasseling,2020-09-17,2020-10-11
1755.0,Teff,flowering,2020-08-22,2020-09-16
1755.0,Teff,harvesting,2020-10-26,2020-11-25
1755.0,Teff,planting,2020-06-08,2020-07-12
1755.0,Teff,prep,2020-10-26,2020-05-29
1755.0,Teff,tasseling,2020-09-17,2020-10-11
1755.0,Wheat/Barley,flowering,2020-08-07,2020-08-16
1755.0,Wheat/Barley,harvesting,2020-09-07,2020-09-21
1755.0,Wheat/Barley,planting,2020-06-08,2020-06-23
1755.0,Wheat/Barley,prep,2020-10-26,2020-05-28
1755.0,Wheat/Barley,tasseling,2020-08-21,2020-09-05
1757.0,Bean,flowering,2020-07-27,2020-09-05
1757.0,Bean,harvesting,2020-10-06,2020-10-16
1757.0,Bean,planting,2020-06-08,2020-06-23
1757.0,Bean,prep,2020-01-10,2020-05-08
1757.0,Bean,tasseling,2020-09-06,2020-09-26
1757.0,Beans,flowering,2020-08-07,2020-09-05
1757.0,Beans,harvesting,2020-09-26,2020-10-10
1757.0,Beans,planting,2020-06-08,2020-07-07
1757.0,Beans,prep,2020-03-10,2020-04-08
1757.0,Beans,tasseling,2020-09-06,2020-09-26
1757.0,Maize,flowering,2020-08-11,2020-08-22
1757.0,Maize,harvesting,2020-10-12,2020-11-10
1757.0,Maize,planting,2020-06-08,2020-06-22
1757.0,Maize,prep,2020-01-10,2020-05-08
1757.0,Maize,tasseling,2020-09-06,2020-09-27
1757.0,Sorghum,flowering,2020-08-07,2020-08-22
1757.0,Sorghum,harvesting,2020-11-25,2020-12-09
1757.0,Sorghum,planting,2020-05-09,2020-06-07
1757.0,Sorghum,prep,2020-01-24,2020-03-23
1757.0,Sorghum,tasseling,2020-08-22,2020-09-05
1757.0,Teff,flowering,2020-08-21,2020-09-05
1757.0,Teff,harvesting,2020-10-11,2020-11-09
1757.0,Teff,planting,2020-07-08,2020-07-23
1757.0,Teff,prep,2020-12-11,2020-06-23
1757.0,Teff,tasseling,2020-09-15,2020-10-10
1758.0,Sorghum,flowering,2020-08-21,2020-09-26
1758.0,Sorghum,harvesting,2020-11-11,2020-12-10
1758.0,Sorghum,planting,2020-05-09,2020-07-07
1758.0,Sorghum,prep,2020-01-11,2020-05-08
1758.0,Sorghum,tasseling,2020-10-10,2020-10-23
1758.0,Teff,flowering,2020-08-21,2020-09-05
1758.0,Teff,harvesting,2020-10-12,2020-12-10
1758.0,Teff,planting,2020-07-08,2020-08-06
1758.0,Teff,prep,2020-12-11,2020-07-02
1758.0,Teff,tasseling,2020-09-12,2020-09-27
1759.0,Sorghum,flowering,2020-08-21,2020-09-05
1759.0,Sorghum,harvesting,2020-11-11,2020-12-26
1759.0,Sorghum,planting,2020-05-09,2020-06-22
1759.0,Sorghum,prep,2020-12-10,2020-05-08
1759.0,Sorghum,tasseling,2020-09-12,2020-10-16
1759.0,Teff,flowering,2020-08-22,2020-09-11
1759.0,Teff,harvesting,2020-09-28,2020-11-10
1759.0,Teff,planting,2020-07-05,2020-08-06
1759.0,Teff,prep,2020-12-10,2020-05-08
1759.0,Teff,tasseling,2020-09-12,2020-09-27
1760.0,Beans,flowering,2020-08-22,2020-09-05
1760.0,Beans,harvesting,2020-09-27,2020-10-01
1760.0,Beans,planting,2020-06-08,2020-06-23
1760.0,Beans,prep,2020-12-11,2020-04-08
1760.0,Beans,tasseling,2020-09-06,2020-09-23
1760.0,Meng beans,flowering,2020-08-22,2020-09-05
1760.0,Meng beans,harvesting,2020-09-16,2020-09-26
1760.0,Meng beans,planting,2020-06-07,2020-07-07
1760.0,Meng beans,prep,2020-12-11,2020-04-08
1760.0,Meng beans,tasseling,2020-09-06,2020-09-10
1760.0,Teff,flowering,2020-08-26,2020-09-16
1760.0,Teff,harvesting,2020-10-02,2020-11-10
1760.0,Teff,planting,2020-07-08,2020-08-11
1760.0,Teff,prep,2020-12-11,2020-05-08
1760.0,Teff,tasseling,2020-09-23,2020-10-01
1766.0,Sorghum,flowering,2020-08-22,2020-09-15
1766.0,Sorghum,harvesting,2020-11-04,2020-11-24
1766.0,Sorghum,planting,2020-05-10,2020-06-07
1766.0,Sorghum,prep,2020-01-09,2020-05-09
1766.0,Sorghum,tasseling,2020-09-25,2020-10-10
1766.0,Teff,flowering,2020-08-22,2020-09-11
1766.0,Teff,harvesting,2020-10-05,2020-10-25
1766.0,Teff,planting,2020-07-08,2020-07-01
1766.0,Teff,prep,2020-11-11,2020-06-12
1766.0,Teff,tasseling,2020-09-12,2020-09-30
1766.0,Wheat/Barley,flowering,2020-08-22,2020-09-05
1766.0,Wheat/Barley,harvesting,2020-10-15,2020-11-09
1766.0,Wheat/Barley,planting,2020-06-13,2020-07-04
1766.0,Wheat/Barley,prep,2020-12-10,2020-06-12
1766.0,Wheat/Barley,tasseling,2020-09-26,2020-10-10
1768.0,Sorghum,flowering,2020-08-07,2020-09-05
1768.0,Sorghum,harvesting,2020-11-10,2020-11-19
1768.0,Sorghum,planting,2020-05-09,2020-06-07
1768.0,Sorghum,prep,2020-02-09,2020-05-08
1768.0,Sorghum,tasseling,2020-09-11,2020-10-10
1768.0,Teff,flowering,2020-08-07,2020-08-26
1768.0,Teff,harvesting,2020-10-11,2020-11-19
1768.0,Teff,planting,2020-07-02,2020-07-23
1768.0,Teff,prep,2020-02-09,2020-06-22
1768.0,Teff,tasseling,2020-09-11,2020-09-30
1770.0,Beans,flowering,2020-08-07,2020-09-11
1770.0,Beans,harvesting,2020-10-12,2020-10-26
1770.0,Beans,planting,2020-06-08,2020-06-22
1770.0,Beans,prep,2020-02-10,2020-06-08
1770.0,Beans,tasseling,2020-09-12,2020-10-11
1770.0,Teff,flowering,2020-08-22,2020-09-11
1770.0,Teff,harvesting,2020-11-11,2020-12-10
1770.0,Teff,planting,2020-06-22,2020-07-12
1770.0,Teff,prep,2020-12-25,2020-06-13
1770.0,Teff,tasseling,2020-09-12,2020-11-10
1770.0,Wheat/Barley,flowering,2020-08-07,2020-09-11
1770.0,Wheat/Barley,harvesting,2020-10-12,2020-10-26
1770.0,Wheat/Barley,planting,2020-06-08,2020-06-23
1770.0,Wheat/Barley,prep,2020-10-12,2020-06-07
1770.0,Wheat/Barley,tasseling,2020-09-12,2020-10-01
1771.0,Maize,flowering,2020-07-15,2020-08-06
1771.0,Maize,harvesting,2020-10-11,2020-11-09
1771.0,Maize,planting,2020-05-09,2020-05-24
1771.0,Maize,prep,2020-03-09,2020-04-08
1771.0,Maize,tasseling,2020-08-26,2020-09-26
1771.0,Millet,flowering,2020-08-22,2020-09-15
1771.0,Millet,harvesting,2020-10-26,2020-11-14
1771.0,Millet,planting,2020-03-21,2020-06-08
1771.0,Millet,prep,2020-10-11,2020-03-20
1771.0,Millet,tasseling,2020-09-26,2020-10-25
1771.0,Teff,flowering,2020-09-04,2020-09-15
1771.0,Teff,harvesting,2020-10-30,2020-11-09
1771.0,Teff,planting,2020-07-08,2020-07-23
1771.0,Teff,prep,2020-03-10,2020-07-07
1771.0,Teff,tasseling,2020-10-10,2020-10-15
1772.0,Teff,flowering,2020-09-06,2020-09-27
1772.0,Teff,harvesting,2020-11-11,2020-11-26
1772.0,Teff,planting,2020-07-08,2020-07-16
1772.0,Teff,prep,2020-10-12,2020-07-07
1772.0,Teff,tasseling,2020-09-28,2020-10-11
1772.0,Wheat/Barley,flowering,2020-08-07,2020-09-05
1772.0,Wheat/Barley,harvesting,2020-09-27,2020-10-11
1772.0,Wheat/Barley,planting,2020-06-08,2020-06-22
1772.0,Wheat/Barley,prep,2020-10-12,2020-06-07
1772.0,Wheat/Barley,tasseling,2020-09-06,2020-09-21
1773.0,Maize,flowering,2020-07-23,2020-08-06
1773.0,Maize,harvesting,2020-10-12,2020-11-10
1773.0,Maize,planting,2020-05-09,2020-05-28
1773.0,Maize,prep,2020-03-10,2020-05-08
1773.0,Maize,tasseling,2020-08-07,2020-09-05
1773.0,Teff,flowering,2020-09-05,2020-10-11
1773.0,Teff,harvesting,2020-11-11,2020-12-10
1773.0,Teff,planting,2020-07-08,2020-08-06
1773.0,Teff,prep,2020-02-09,2020-06-07
1773.0,Teff,tasseling,2020-10-12,2020-11-10
1774.0,Maize,flowering,2020-08-07,2020-08-21
1774.0,Maize,harvesting,2020-10-12,2020-10-26
1774.0,Maize,planting,2020-05-09,2020-05-18
1774.0,Maize,prep,2020-03-10,2020-05-08
1774.0,Maize,tasseling,2020-09-05,2020-09-26
1774.0,Millet,flowering,2020-08-22,2020-09-11
1774.0,Millet,harvesting,2020-11-11,2020-11-26
1774.0,Millet,planting,2020-05-09,2020-06-02
1774.0,Millet,prep,2020-01-10,2020-04-24
1774.0,Millet,tasseling,2020-09-26,2020-10-23
1774.0,Sesame,flowering,2020-08-22,2020-09-16
1774.0,Sesame,harvesting,2020-10-12,2020-10-21
1774.0,Sesame,planting,2020-06-08,2020-07-07
1774.0,Sesame,prep,2020-12-11,2020-05-08
1774.0,Sesame,tasseling,2020-09-17,2020-10-11
1774.0,Sorghum,flowering,2020-09-06,2020-09-26
1774.0,Sorghum,harvesting,2020-10-26,2020-11-15
1774.0,Sorghum,planting,2020-06-08,2020-07-07
1774.0,Sorghum,prep,2020-12-11,2020-05-08
1774.0,Sorghum,tasseling,2020-09-27,2020-10-11
1774.0,Teff,flowering,2020-09-16,2020-09-27
1774.0,Teff,harvesting,2020-11-05,2020-11-26
1774.0,Teff,planting,2020-07-08,2020-07-22
1774.0,Teff,prep,2020-02-08,2020-07-07
1774.0,Teff,tasseling,2020-09-28,2020-10-16
1774.0,Wheat/Barley,flowering,2020-08-01,2020-08-06
1774.0,Wheat/Barley,harvesting,2020-08-31,2020-09-05
1774.0,Wheat/Barley,planting,2020-06-05,2020-06-12
1774.0,Wheat/Barley,prep,2020-12-25,2020-05-08
1774.0,Wheat/Barley,tasseling,2020-08-07,2020-08-22
1775.0,Maize,flowering,2020-07-19,2020-08-06
1775.0,Maize,harvesting,2020-10-27,2020-11-10
1775.0,Maize,planting,2020-05-09,2020-05-20
1775.0,Maize,prep,2020-03-10,2020-05-08
1775.0,Maize,tasseling,2020-08-30,2020-10-11
1775.0,Millet,flowering,2020-08-22,2020-09-16
1775.0,Millet,harvesting,2020-11-11,2020-11-26
1775.0,Millet,planting,2020-03-25,2020-11-13
1775.0,Millet,prep,2020-10-12,2020-03-09
1775.0,Millet,tasseling,2020-09-27,2020-10-27
1775.0,Teff,flowering,2020-09-16,2020-09-23
1775.0,Teff,harvesting,2020-11-15,2020-12-10
1775.0,Teff,planting,2020-07-19,2020-08-06
1775.0,Teff,prep,2020-01-10,2020-06-28
1775.0,Teff,tasseling,2020-10-11,2020-11-10
1776.0,Teff,flowering,2020-09-05,2020-09-11
1776.0,Teff,harvesting,2020-11-10,2020-11-25
1776.0,Teff,planting,2020-07-05,2020-07-12
1776.0,Teff,prep,2020-02-09,2020-06-22
1776.0,Teff,tasseling,2020-09-26,2020-10-26
1776.0,Wheat/Barley,flowering,2020-08-07,2020-08-22
1776.0,Wheat/Barley,harvesting,2020-09-26,2020-10-10
1776.0,Wheat/Barley,planting,2020-06-05,2020-06-11
1776.0,Wheat/Barley,prep,2020-12-10,2020-06-02
1776.0,Wheat/Barley,tasseling,2020-08-30,2020-09-06
1777.0,Beans,flowering,2020-08-21,2020-09-05
1777.0,Beans,harvesting,2020-10-23,2020-11-10
1777.0,Beans,planting,2020-06-08,2020-07-07
1777.0,Beans,prep,2020-03-10,2020-05-08
1777.0,Beans,tasseling,2020-09-16,2020-10-11
1777.0,Teff,flowering,2020-08-21,2020-09-05
1777.0,Teff,harvesting,2020-12-10,2020-11-20
1777.0,Teff,planting,2020-05-09,2020-06-22
1777.0,Teff,prep,2020-10-11,2020-05-08
1777.0,Teff,tasseling,2020-09-26,2020-10-16
1777.0,Wheat/Barley,flowering,2020-08-21,2020-09-16
1777.0,Wheat/Barley,harvesting,2020-10-29,2020-11-15
1777.0,Wheat/Barley,planting,2020-06-08,2020-07-03
