,date,province,confirmed
170,2020-01-30,Seoul,3
171,2020-01-30,Busan,0
172,2020-01-30,Daegu,0
173,2020-01-30,Incheon,1
174,2020-01-30,Gwangju,0
175,2020-01-30,Daejeon,0
176,2020-01-30,Ulsan,0
178,2020-01-30,Gyeonggi-do,3
179,2020-01-30,Gangwon-do,0
180,2020-01-30,Chungcheongbuk-do,0
181,2020-01-30,Chungcheongnam-do,0
182,2020-01-30,Jeollabuk-do,0
183,2020-01-30,Jeollanam-do,0
184,2020-01-30,Gyeongsangbuk-do,0
185,2020-01-30,Gyeongsangnam-do,0
186,2020-01-30,Jeju-do,0
187,2020-01-31,Seoul,4
188,2020-01-31,Busan,0
189,2020-01-31,Daegu,0
190,2020-01-31,Incheon,1
191,2020-01-31,Gwangju,0
192,2020-01-31,Daejeon,0
193,2020-01-31,Ulsan,0
195,2020-01-31,Gyeonggi-do,5
196,2020-01-31,Gangwon-do,0
197,2020-01-31,Chungcheongbuk-do,0
198,2020-01-31,Chungcheongnam-do,0
199,2020-01-31,Jeollabuk-do,1
200,2020-01-31,Jeollanam-do,0
201,2020-01-31,Gyeongsangbuk-do,0
202,2020-01-31,Gyeongsangnam-do,0
203,2020-01-31,Jeju-do,0
204,2020-02-01,Seoul,4
205,2020-02-01,Busan,0
206,2020-02-01,Daegu,0
207,2020-02-01,Incheon,1
208,2020-02-01,Gwangju,0
209,2020-02-01,Daejeon,0
210,2020-02-01,Ulsan,0
212,2020-02-01,Gyeonggi-do,6
213,2020-02-01,Gangwon-do,0
214,2020-02-01,Chungcheongbuk-do,0
215,2020-02-01,Chungcheongnam-do,0
216,2020-02-01,Jeollabuk-do,1
217,2020-02-01,Jeollanam-do,0
218,2020-02-01,Gyeongsangbuk-do,0
219,2020-02-01,Gyeongsangnam-do,0
220,2020-02-01,Jeju-do,0
221,2020-02-02,Seoul,5
222,2020-02-02,Busan,0
223,2020-02-02,Daegu,0
224,2020-02-02,Incheon,1
225,2020-02-02,Gwangju,0
226,2020-02-02,Daejeon,0
227,2020-02-02,Ulsan,0
229,2020-02-02,Gyeonggi-do,8
230,2020-02-02,Gangwon-do,0
231,2020-02-02,Chungcheongbuk-do,0
232,2020-02-02,Chungcheongnam-do,0
233,2020-02-02,Jeollabuk-do,1
234,2020-02-02,Jeollanam-do,0
235,2020-02-02,Gyeongsangbuk-do,0
236,2020-02-02,Gyeongsangnam-do,0
237,2020-02-02,Jeju-do,0
238,2020-02-03,Seoul,5
239,2020-02-03,Busan,0
240,2020-02-03,Daegu,0
241,2020-02-03,Incheon,1
242,2020-02-03,Gwangju,0
243,2020-02-03,Daejeon,0
244,2020-02-03,Ulsan,0
246,2020-02-03,Gyeonggi-do,8
247,2020-02-03,Gangwon-do,0
248,2020-02-03,Chungcheongbuk-do,0
249,2020-02-03,Chungcheongnam-do,0
250,2020-02-03,Jeollabuk-do,1
251,2020-02-03,Jeollanam-do,0
252,2020-02-03,Gyeongsangbuk-do,0
253,2020-02-03,Gyeongsangnam-do,0
254,2020-02-03,Jeju-do,0
255,2020-02-04,Seoul,5
256,2020-02-04,Busan,0
257,2020-02-04,Daegu,0
258,2020-02-04,Incheon,1
259,2020-02-04,Gwangju,1
260,2020-02-04,Daejeon,0
261,2020-02-04,Ulsan,0
263,2020-02-04,Gyeonggi-do,8
264,2020-02-04,Gangwon-do,0
265,2020-02-04,Chungcheongbuk-do,0
266,2020-02-04,Chungcheongnam-do,0
267,2020-02-04,Jeollabuk-do,1
268,2020-02-04,Jeollanam-do,0
269,2020-02-04,Gyeongsangbuk-do,0
270,2020-02-04,Gyeongsangnam-do,0
271,2020-02-04,Jeju-do,0
272,2020-02-05,Seoul,5
273,2020-02-05,Busan,0
274,2020-02-05,Daegu,0
275,2020-02-05,Incheon,1
276,2020-02-05,Gwangju,1
277,2020-02-05,Daejeon,0
278,2020-02-05,Ulsan,0
280,2020-02-05,Gyeonggi-do,10
281,2020-02-05,Gangwon-do,0
282,2020-02-05,Chungcheongbuk-do,0
283,2020-02-05,Chungcheongnam-do,0
284,2020-02-05,Jeollabuk-do,1
285,2020-02-05,Jeollanam-do,0
286,2020-02-05,Gyeongsangbuk-do,0
287,2020-02-05,Gyeongsangnam-do,0
288,2020-02-05,Jeju-do,0
