,date,province,avg_temp
23839,2020-01-30,Seoul,5.2
23840,2020-01-30,Busan,7.1
23841,2020-01-30,Daegu,5.7
23842,2020-01-30,Gwangju,5.9
23843,2020-01-30,Incheon,4.9
23844,2020-01-30,Daejeon,6.1
23845,2020-01-30,Ulsan,5.6
23846,2020-01-30,Gyeonggi-do,5.3
23847,2020-01-30,Gangwon-do,2.6
23848,2020-01-30,Chungcheongbuk-do,4.4
23849,2020-01-30,Chungcheongnam-do,3.3
23850,2020-01-30,Jeollabuk-do,5.1
23851,2020-01-30,Jeollanam-do,6.4
23852,2020-01-30,Gyeongsangbuk-do,4.2
23853,2020-01-30,Gyeongsangnam-do,6.0
23854,2020-01-30,Jeju-do,8.3
23855,2020-01-31,Seoul,3.9
23856,2020-01-31,Busan,6.3
23857,2020-01-31,Daegu,4.4
23858,2020-01-31,Gwangju,4.3
23859,2020-01-31,Incheon,3.4
23860,2020-01-31,Daejeon,3.7
23861,2020-01-31,Ulsan,4.7
23862,2020-01-31,Gyeonggi-do,2.9
23863,2020-01-31,Gangwon-do,3.2
23864,2020-01-31,Chungcheongbuk-do,3.0
23865,2020-01-31,Chungcheongnam-do,0.6
23866,2020-01-31,Jeollabuk-do,4.2
23867,2020-01-31,Jeollanam-do,5.2
23868,2020-01-31,Gyeongsangbuk-do,3.0
23869,2020-01-31,Gyeongsangnam-do,4.6
23870,2020-01-31,Jeju-do,7.2
23871,2020-02-01,Seoul,2.6
23872,2020-02-01,Busan,5.6
23873,2020-02-01,Daegu,2.9
23874,2020-02-01,Gwangju,3.9
23875,2020-02-01,Incheon,3.0
23876,2020-02-01,Daejeon,2.1
23877,2020-02-01,Ulsan,4.1
23878,2020-02-01,Gyeonggi-do,1.9
23879,2020-02-01,Gangwon-do,4.8
23880,2020-02-01,Chungcheongbuk-do,1.3
23881,2020-02-01,Chungcheongnam-do,1.0
23882,2020-02-01,Jeollabuk-do,3.6
23883,2020-02-01,Jeollanam-do,5.3
23884,2020-02-01,Gyeongsangbuk-do,4.1
23885,2020-02-01,Gyeongsangnam-do,4.3
23886,2020-02-01,Jeju-do,8.2
23887,2020-02-02,Seoul,1.5
23888,2020-02-02,Busan,7.1
23889,2020-02-02,Daegu,3.6
23890,2020-02-02,Gwangju,4.0
23891,2020-02-02,Incheon,1.4
23892,2020-02-02,Daejeon,1.8
23893,2020-02-02,Ulsan,5.3
23894,2020-02-02,Gyeonggi-do,1.0
23895,2020-02-02,Gangwon-do,5.0
23896,2020-02-02,Chungcheongbuk-do,0.9
23897,2020-02-02,Chungcheongnam-do,0.4
23898,2020-02-02,Jeollabuk-do,2.5
23899,2020-02-02,Jeollanam-do,5.9
23900,2020-02-02,Gyeongsangbuk-do,4.7
23901,2020-02-02,Gyeongsangnam-do,4.5
23902,2020-02-02,Jeju-do,7.7
23903,2020-02-03,Seoul,-0.4
23904,2020-02-03,Busan,5.6
23905,2020-02-03,Daegu,3.1
23906,2020-02-03,Gwangju,2.0
23907,2020-02-03,Incheon,-0.3
23908,2020-02-03,Daejeon,1.5
23909,2020-02-03,Ulsan,4.1
23910,2020-02-03,Gyeonggi-do,-0.1
23911,2020-02-03,Gangwon-do,3.2
23912,2020-02-03,Chungcheongbuk-do,0.1
23913,2020-02-03,Chungcheongnam-do,0.1
23914,2020-02-03,Jeollabuk-do,1.5
23915,2020-02-03,Jeollanam-do,4.5
23916,2020-02-03,Gyeongsangbuk-do,3.4
23917,2020-02-03,Gyeongsangnam-do,4.1
23918,2020-02-03,Jeju-do,6.9
23919,2020-02-04,Seoul,-1.6
23920,2020-02-04,Busan,5.2
23921,2020-02-04,Daegu,1.9
23922,2020-02-04,Gwangju,2.1
23923,2020-02-04,Incheon,-1.3
23924,2020-02-04,Daejeon,0.4
23925,2020-02-04,Ulsan,3.0
23926,2020-02-04,Gyeonggi-do,-1.0
23927,2020-02-04,Gangwon-do,2.7
23928,2020-02-04,Chungcheongbuk-do,-1.4
23929,2020-02-04,Chungcheongnam-do,-0.7
23930,2020-02-04,Jeollabuk-do,0.7
23931,2020-02-04,Jeollanam-do,3.8
23932,2020-02-04,Gyeongsangbuk-do,2.8
23933,2020-02-04,Gyeongsangnam-do,3.1
23934,2020-02-04,Jeju-do,5.6
23935,2020-02-05,Seoul,-8.3
23936,2020-02-05,Busan,1.8
23937,2020-02-05,Daegu,-1.5
23938,2020-02-05,Gwangju,-1.7
23939,2020-02-05,Incheon,-8.1
23940,2020-02-05,Daejeon,-4.6
23941,2020-02-05,Ulsan,0.0
23942,2020-02-05,Gyeonggi-do,-7.2
23943,2020-02-05,Gangwon-do,-2.1
23944,2020-02-05,Chungcheongbuk-do,-6.2
23945,2020-02-05,Chungcheongnam-do,-5.5
23946,2020-02-05,Jeollabuk-do,-3.7
23947,2020-02-05,Jeollanam-do,0.7
23948,2020-02-05,Gyeongsangbuk-do,-0.7
23949,2020-02-05,Gyeongsangnam-do,-0.3
23950,2020-02-05,Jeju-do,3.4
23951,2020-02-06,Seoul,-6.4
23952,2020-02-06,Busan,1.2
