airport,latitude,longitude
MCO,28.412903550000003,-81.30944309752753
ORD,41.9780813,-87.90918176930403
DFW,32.89651945,-97.0465220537124
MDW,41.7854316,-87.75084869357148
LAS,36.0861034,-115.1611197919236
HNL,21.32040435,-157.9173135198164
BWI,39.1828341,-76.6698273
AUS,30.19348925,-97.66500963529676
SJU,18.44319945,-65.99743036847468
BOS,42.36317665,-71.01364006269452
LGB,33.815565899999996,-118.1534292216672
OAK,37.72225915,-122.21701661553246
LAX,33.94216754999999,-118.42135906141588
MIA,25.7949789,-80.28672341095405
EWR,40.68906405,-74.17725485035348
