FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,latitude,longitude,latitude_dest,longitude_dest
2019-12-22,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4513,MCO,"Orlando, FL",MDW,"Chicago, IL",2125,,,,,,,2305,,,1.0,A,0.0,160.0,,,990.0,,,,,,28.412903550000003,-81.30944309752753,41.7854316,-87.75084869357148
2019-11-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2398,ORD,"Chicago, IL",MCO,"Orlando, FL",1200,,,,,,,1541,,,1.0,B,0.0,161.0,,,1005.0,,,,,,41.9780813,-87.90918176930403,28.412903550000003,-81.30944309752753
2019-10-20,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1205,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",2239,,,,,,,2341,,,1.0,B,0.0,62.0,,,190.0,,,,,,32.89651945,-97.0465220537124,30.19348925,-97.66500963529676
2022-01-01,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3395,MDW,"Chicago, IL",LGB,"Long Beach, CA",905,,,,,,,1130,,,1.0,B,0.0,265.0,,,1741.0,,,,,,41.7854316,-87.75084869357148,33.815565899999996,-118.1534292216672
2019-02-21,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2265,LAS,"Las Vegas, NV",AUS,"Austin, TX",1215,,,,,,,1655,,,1.0,A,0.0,160.0,,,1090.0,,,,,,36.0861034,-115.1611197919236,30.19348925,-97.66500963529676
2022-04-19,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,86,HNL,"Honolulu, HI",MCO,"Orlando, FL",1630,1633.0,3.0,14.0,1647.0,716.0,10.0,730,726.0,-4.0,0.0,,0.0,540.0,533.0,509.0,4757.0,,,,,,21.32040435,-157.9173135198164,28.412903550000003,-81.30944309752753
2019-12-24,Republic Airline,Republic Airline: YX,YX,20452,3497,ORD,"Chicago, IL",DFW,"Dallas/Fort Worth, TX",751,,,,,,,1047,,,1.0,C,0.0,176.0,,,801.0,,,,,,41.9780813,-87.90918176930403,32.89651945,-97.0465220537124
2019-04-06,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,90,HNL,"Honolulu, HI",BOS,"Boston, MA",1355,1352.0,-3.0,22.0,1414.0,501.0,6.0,550,507.0,-43.0,0.0,,0.0,595.0,555.0,527.0,5095.0,,,,,,21.32040435,-157.9173135198164,42.36317665,-71.01364006269452
2020-03-29,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,75,ORD,"Chicago, IL",HNL,"Honolulu, HI",1015,,,,,,,1445,,,1.0,D,0.0,570.0,,,4243.0,,,,,,41.9780813,-87.90918176930403,21.32040435,-157.9173135198164
2019-12-31,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1069,BWI,"Baltimore, MD",MDW,"Chicago, IL",615,,,,,,,720,,,1.0,B,0.0,125.0,,,611.0,,,,,,39.1828341,-76.6698273,41.7854316,-87.75084869357148
2021-10-31,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,86,HNL,"Honolulu, HI",MCO,"Orlando, FL",1555,1549.0,-6.0,20.0,1609.0,657.0,11.0,700,708.0,8.0,0.0,,0.0,545.0,559.0,528.0,4757.0,,,,,,21.32040435,-157.9173135198164,28.412903550000003,-81.30944309752753
2019-11-06,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,5704,AUS,"Austin, TX",MCO,"Orlando, FL",1110,,,,,,,1435,,,1.0,A,0.0,145.0,,,994.0,,,,,,30.19348925,-97.66500963529676,28.412903550000003,-81.30944309752753
2019-10-31,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,352,MDW,"Chicago, IL",BWI,"Baltimore, MD",1025,,,,,,,1310,,,1.0,B,0.0,105.0,,,611.0,,,,,,41.7854316,-87.75084869357148,39.1828341,-76.6698273
2019-11-01,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,579,BWI,"Baltimore, MD",LAS,"Las Vegas, NV",1030,,,,,,,1240,,,1.0,A,0.0,310.0,,,2106.0,,,,,,39.1828341,-76.6698273,36.0861034,-115.1611197919236
2019-11-11,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,597,LAS,"Las Vegas, NV",ORD,"Chicago, IL",1105,,,,,,,1637,,,1.0,A,0.0,212.0,,,1514.0,,,,,,36.0861034,-115.1611197919236,41.9780813,-87.90918176930403
2021-11-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2530,SJU,"San Juan, PR",AUS,"Austin, TX",159,,,,,,,516,,,1.0,A,0.0,317.0,,,2146.0,,,,,,18.44319945,-65.99743036847468,30.19348925,-97.66500963529676
2019-02-12,JetBlue Airways,JetBlue Airways: B6,B6,20409,177,BOS,"Boston, MA",LAS,"Las Vegas, NV",2112,8.0,176.0,,,,,22,,,1.0,B,0.0,370.0,,,2381.0,,,,,,42.36317665,-71.01364006269452,36.0861034,-115.1611197919236
2020-04-03,JetBlue Airways,JetBlue Airways: B6,B6,20409,1416,LGB,"Long Beach, CA",AUS,"Austin, TX",1120,,,,,,,1607,,,1.0,D,0.0,167.0,,,1226.0,,,,,,33.815565899999996,-118.1534292216672,30.19348925,-97.66500963529676
2019-03-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2379,OAK,"Oakland, CA",AUS,"Austin, TX",655,,,,,,,1220,,,1.0,A,0.0,205.0,,,1497.0,,,,,,37.72225915,-122.21701661553246,30.19348925,-97.66500963529676
2019-01-19,JetBlue Airways,JetBlue Airways: B6,B6,20409,504,LGB,"Long Beach, CA",BOS,"Boston, MA",2040,,,,,,,455,,,1.0,B,0.0,315.0,,,2602.0,,,,,,33.815565899999996,-118.1534292216672,42.36317665,-71.01364006269452
2019-12-06,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,362,HNL,"Honolulu, HI",EWR,"Newark, NJ",1550,,,,,,,610,,,1.0,A,0.0,560.0,,,4962.0,,,,,,21.32040435,-157.9173135198164,40.68906405,-74.17725485035348
2019-12-09,JetBlue Airways,JetBlue Airways: B6,B6,20409,1027,BOS,"Boston, MA",BWI,"Baltimore, MD",1847,,,,,,,2025,,,1.0,C,0.0,98.0,,,369.0,,,,,,42.36317665,-71.01364006269452,39.1828341,-76.6698273
2019-03-23,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4083,SJU,"San Juan, PR",BWI,"Baltimore, MD",1325,,,,,,,1750,,,1.0,A,0.0,265.0,,,1565.0,,,,,,18.44319945,-65.99743036847468,39.1828341,-76.6698273
2019-12-09,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2471,OAK,"Oakland, CA",LAX,"Los Angeles, CA",710,,,,,,,835,,,1.0,A,0.0,85.0,,,337.0,,,,,,37.72225915,-122.21701661553246,33.94216754999999,-118.42135906141588
2019-12-11,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,636,ORD,"Chicago, IL",EWR,"Newark, NJ",555,,,,,,,859,,,1.0,A,0.0,124.0,,,719.0,,,,,,41.9780813,-87.90918176930403,40.68906405,-74.17725485035348
2019-12-11,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2147,LAX,"Los Angeles, CA",OAK,"Oakland, CA",1650,,,,,,,1810,,,1.0,A,0.0,80.0,,,337.0,,,,,,33.94216754999999,-118.42135906141588,37.72225915,-122.21701661553246
2020-03-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1184,SJU,"San Juan, PR",ORD,"Chicago, IL",709,,,,,,,1135,,,1.0,A,0.0,326.0,,,2072.0,,,,,,18.44319945,-65.99743036847468,41.9780813,-87.90918176930403
2019-10-31,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2303,MIA,"Miami, FL",ORD,"Chicago, IL",1830,,,,,,,2053,,,1.0,C,0.0,203.0,,,1197.0,,,,,,25.7949789,-80.28672341095405,41.9780813,-87.90918176930403
2019-07-06,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2341,LAS,"Las Vegas, NV",MIA,"Miami, FL",2254,,,,,,,642,,,1.0,B,0.0,288.0,,,2174.0,,,,,,36.0861034,-115.1611197919236,25.7949789,-80.28672341095405
