unnamed: 0,property name,price,type,area in sq ft,bedrooms,no. of bathrooms,no. of receptions,location,city,postal code
63,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL
216,Oxhey Road,850000,House,1687,4,4,4,Oxhey,Hertfordshire,WD19 4QG
224,Harper Lane,1650000,House,4016,8,8,8, Radlett,Hertfordshire,WD7 9HJ
234,Coleford Road,1400000,House,1799,4,4,4,London,Wandsworth,SW18 1AD
1003,Green Lane,1275000,House,2711,5,5,5,Oxhey,Hertfordshire,WD19 4NJ
1216,Meadowbank,625000,House,1213,4,4,4, Watford,Hertfordshire,WD19 4NP
1384,Rossway Drive,600000,House,1202,4,4,4,Bushey,Hertfordshire,WD23 3EW
1600,Thames Quay,699950,Flat / Apartment,645,1,1,1,Chelsea Harbour,Chelsea,SW10 0UY
1609,Eastbury Road,1050000,House,2562,4,4,4, Watford,Hertfordshire,WD19 4JN
2345,Wells Place,850000,House,1356,3,3,3,London,Wandsworth,SW18 3BF
2854,The Heights,475000,Flat / Apartment,977,3,3,3, Watford,Hertfordshire,WD19 4PU
3138,Windsor House,600000,Flat / Apartment,1219,3,3,3, Bushey,Hertfordshire,WD23 2RH
3249,Donovan Court,875000,Flat / Apartment,648,1,1,1, London,Chelsea,SW10 9QS
3389,Admiral Court,2250000,Flat / Apartment,1683,3,3,3, Chelsea Harbour,Chelsea,SW10 0UU
