unnamed: 0,property name,price,type,area in sq ft,bedrooms,no. of bathrooms,no. of receptions,location,city,postal code
12,Ashley Park Avenue,2795000,House,5294,5,5,5,Walton-on-Thames,Surrey,KT12 1ER
17,Hazelwood Lane,1250000,House,3503,6,6,6, Coulsdon,Surrey,CR5 3QW
28,Ditton Grove,374950,New development,664,2,2,2,Esher,Surrey,KT10 9FN
29,Roymount Court,400000,Flat / Apartment,805,2,2,2, Surbiton,Surrey,KT6 6NW
47,Ashley Park Avenue,3450000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU
63,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL
75,Weston Park,1050000,House,1693,4,4,4,Thames Ditton,Surrey,KT7 0HQ
91,Seymour Gardens,1200000,House,2108,4,4,4,Surbiton,Surrey,KT5 8QE
113,Ditton Grove,399950,New development,697,2,2,2,Esher,Surrey,KT10 9FN
114,Sylvan Gardens,1499950,House,2982,5,5,5,Surbiton,Surrey,KT6 6PP
127,Elizabeth Place,625000,Flat / Apartment,902,2,2,2, Esher,Surrey,KT10 8AP
134,Ruxley Crescent,1800000,New development,3877,4,4,4, Esher,Surrey,KT10 0TX
138,Crescent Road,1855000,House,2917,5,5,5,Kingston upon Thames,Surrey,KT2 7RD
141,Spring Terrace,5250000,House,4745,7,7,7,Richmond,Surrey,TW9 1LW
142,Montague Road,6000000,House,4798,6,6,6,Richmond,Surrey,TW10 6QW
182,Selborne Villas,1150000,House,2357,4,4,4, Esher,Surrey,KT10 9UD
194,The Grange,1050000,House,2375,5,5,5, Walton-on-Thames,Surrey,KT12 3HN
198,Littleworth Avenue,2795000,House,6061,7,7,7,Esher,Surrey,KT10 9PB
199,Ruxley Crescent,1750000,New development,3913,4,4,4, Esher,Surrey,KT10 0TX
213,Corkran Road,1595000,House,3261,5,5,5,Surbiton,Surrey,KT6 6PN
216,Oxhey Road,850000,House,1687,4,4,4,Oxhey,Hertfordshire,WD19 4QG
224,Harper Lane,1650000,House,4016,8,8,8, Radlett,Hertfordshire,WD7 9HJ
234,Coleford Road,1400000,House,1799,4,4,4,London,Wandsworth,SW18 1AD
242,Grand Avenue,500000,House,963,2,2,2,Surbiton,Surrey,KT5 9HU
246,The Spinney,2395000,House,4966,5,5,5, Oxshott,Surrey,KT22 0PL
252,The Mount,3650000,House,8034,6,6,6,Esher,Surrey,KT10 8LQ
271,Lynwood Road,825000,House,2094,4,4,4,Thames Ditton,Surrey,KT7 0DJ
290,St. Marys Road,2900000,House,5896,7,7,7, Surbiton,Surrey,KT6 5EY
302,High Road,650000,House,1783,3,3,3, Coulsdon,Surrey,CR5 3SD
328,Leys Road,4825000,House,10475,7,7,7,Oxshott,Surrey,KT22 0QE
348,Paxton Close,699950,House,909,3,3,3,Richmond,Surrey,TW9 2AW
349,Hardwicke House,665000,Flat / Apartment,935,3,3,3, Richmond,Surrey,TW10 6PW
360,Waynflete House,575000,Penthouse,1029,3,3,3, Esher,Surrey,KT10 9QS
361,94 Claygate,334950,Flat / Apartment,477,1,1,1, Claygate,Surrey,KT10 0RB
363,Queens Road,750000,House,1510,3,3,3,Thames Ditton,Surrey,KT7 0QX
364,Southborough Road,2100000,New development,3596,5,5,5,Surbiton,Surrey,KT6 6JN
365,Pavilion Park,1299000,New development,1903,4,4,4, East Molesey,Surrey,KT8 9DX
397,Church Road,550000,Flat / Apartment,582,2,2,2,Richmond,Surrey,TW9 1UA
414,Evelyn Road,1285000,House,1476,3,3,3,Richmond,Surrey,TW9 2TF
421,Stokesheath Road,4650000,House,7996,6,6,6,Oxshott,Surrey,KT22 0PN
426,Cottimore Avenue,649950,House,1378,4,4,4,Walton-on-Thames,Surrey,KT12 2AE
432,Burwood Park Road,1295000,House,2371,5,5,5, Walton-on-Thames,Surrey,KT12 5LJ
433,Forge Lane,975000,House,1201,3,3,3,Richmond,Surrey,TW10 7BF
434,High Oaks Close,1100000,House,3185,5,5,5,Coulsdon,Surrey,CR5 3EZ
449,Trystings Close,1125000,House,2495,5,5,5, Esher,Surrey,KT10 0TF
457,Onslow Road,800000,Flat / Apartment,734,2,2,2,Richmond,Surrey,TW10 6QH
458,Old Oak Avenue,950000,House,3006,5,5,5, Coulsdon,Surrey,CR5 3PG
506,Southborough Road,1995000,New development,3510,5,5,5,Surbiton,Surrey,KT6 6JN
517,Kingston Hill,2395000,House,3498,5,5,5,Kingston upon Thames,Surrey,KT2 7LN
524,St. Johns Road,1895000,House,2564,5,5,5,Richmond,Surrey,TW9 2PE
533,Esher Place Avenue,2150000,House,3177,5,5,5,Esher,Surrey,KT10 8PY
534,Common Road,785000,New development,1474,3,3,3, Esher,Surrey,KT10 0HG
536,Sheen Road,2850000,House,5130,7,7,7,Richmond,Surrey,TW10 5AL
537,Birds Hill Drive,5950000,New development,11716,6,6,6,Oxshott,Surrey,KT22 0SW
555,Ashburnham Park,2995000,House,5614,6,6,6,Esher,Surrey,KT10 9TW
556,Claremont Drive,2250000,House,3661,4,4,4,Esher,Surrey,KT10 9LU
557,Sandown Road,2995000,House,7087,7,7,7,Esher,Surrey,KT10 9TT
558,Pavilion Park,1100000,New development,1629,3,3,3, East Molesey,Surrey,KT8 9DX
559,Berwyn Road,3350000,House,3770,6,6,6,Richmond,Surrey,TW10 5BP
595,Herne Road,1450000,House,2523,4,4,4,Surbiton,Surrey,KT6 5BX
616,Portland Terrace,775000,Flat / Apartment,705,2,2,2, Richmond,Surrey,TW9 1QQ
622,Chatsworth Place,1595000,House,3069,5,5,5,Oxshott,Surrey,KT22 0SS
637,Upper Richmond Road West,1225000,House,1633,4,4,4,Richmond,Surrey,TW10 5DY
653,Church Road,550000,Flat / Apartment,676,2,2,2,Richmond,Surrey,TW10 6LN
654,High Road,1500000,House,4023,7,7,7, Coulsdon,Surrey,CR5 3QN
677,Manor Road South,1349950,House,2986,5,5,5,Esher,Surrey,KT10 0QQ
678,Grove Road,1350000,House,1890,4,4,4,East Molesey,Surrey,KT8 9JS
680,Milbourne Lane,625000,House,968,3,3,3,Esher,Surrey,KT10 9EA
681,Matham Road,2250000,House,4312,5,5,5,East Molesey,Surrey,KT8 0SX
682,Sandown Road,2350000,House,3861,5,5,5,Esher,Surrey,KT10 9TU
683,Manor Drive,900000,House,1437,3,3,3,Esher,Surrey,KT10 0AU
700,Newlands Close,375000,House,880,3,3,3, Walton-on-Thames,Surrey,KT12 4PW
705,The Green,4495000,House,4063,6,6,6,Richmond,Surrey,TW9 1PX
717,River Bank,520000,Flat / Apartment,944,2,2,2,East Molesey,Surrey,KT8 9BH
738,Ormond Avenue,1650000,House,1750,4,4,4,Richmond,Surrey,TW10 6TN
759,Adela Avenue,765000,House,1500,4,4,4,New Malden,Surrey,KT3 6LE
760,Hersham Road,1250000,House,2502,5,5,5,Walton-on-Thames,Surrey,KT12 1LL
771,Ember Lane,925000,House,1270,4,4,4,Esher,Surrey,KT10 8ER
802,Carleton Close,1275000,House,2344,5,5,5,Esher,Surrey,KT10 8EE
832,Palace Road,2950000,House,4389,6,6,6,East Molesey,Surrey,KT8 9DW
849,Winterdown Road,675000,House,915,2,2,2,Esher,Surrey,KT10 8LP
870,Parkhill,2100000,Flat / Apartment,2810,3,3,3, Esher,Surrey,KT10 9NP
871,Greenways,1000000,House,2590,4,4,4,Esher,Surrey,KT10 0QD
886,Northumberland Place,2950000,House,2400,3,3,3,Richmond,Surrey,TW10 6TS
890,Victoria Avenue,1495000,House,2566,5,5,5,Surbiton,Surrey,KT6 5DL
891,Arnison Road,2250000,House,3364,5,5,5,East Molesey,Surrey,KT8 9JJ
892,Upper Richmond Road West,1250000,House,2032,6,6,6,Richmond,Surrey,TW10 5DY
904,Church Road,3450000,House,3825,5,5,5, Richmond,Surrey,TW10 5HG
960,Vincent Close,1550000,House,2602,4,4,4,Esher,Surrey,KT10 8AW
961,Summer Road,1325000,House,2410,5,5,5,Thames Ditton,Surrey,KT7 0QP
974,Lammas Road,725000,House,1344,5,5,5,Richmond,Surrey,TW10 7YD
991,Ember Lane,1250000,House,1980,4,4,4,Esher,Surrey,KT10 8EQ
992,Sandown House,975000,Penthouse,1634,3,3,3, Esher,Surrey,KT10 9SL
993,Pine Walk,1100000,House,1716,4,4,4,Surbiton,Surrey,KT5 8NJ
1003,Green Lane,1275000,House,2711,5,5,5,Oxhey,Hertfordshire,WD19 4NJ
1018,Rydens Road,1395000,House,3178,4,4,4,Walton-On-Thames,Surrey,KT12 3AA
1020,Richmond Hill,2975000,House,3352,6,6,6,Richmond,Surrey,TW10 6QX
1030,Winterdown Road,850000,House,1336,3,3,3,Esher,Surrey,KT10 8LP
1039,Hazel Lane,2500000,House,4420,6,6,6,Richmond,Surrey,TW10 7AP
1040,New Road,950000,House,1397,3,3,3,Richmond,Surrey,TW10 7HY
1050,Rookery Hill,1750000,House,3184,4,4,4,Ashtead,Surrey,KT21 1EG
1055,Petersham Road,3250000,House,2989,4,4,4,Richmond,Surrey,TW10 7AH
1067,Wayneflete Tower Avenue,3300000,House,6309,5,5,5,Esher,Surrey,KT10 8QG
1076,Liverpool Road,2895000,House,3660,6,6,6,Kingston upon Thames,Surrey,KT2 7SX
1086,Pavilion Park,995000,New development,1681,3,3,3, East Molesey,Surrey,KT8 9DX
1087,Sheen Common Drive,5500000,House,5453,6,6,6,Richmond,Surrey,TW10 5BN
1108,Claremont Drive,2000000,House,3556,6,6,6,Esher,Surrey,KT10 9LU
